# Subnet,CountryCode,,City
2a06:a005:186a:9100::/56,MM,,
2a06:a005:186a:9200::/56,MN,,
2a06:a005:186a:9300::/56,MO,,
2a06:a005:186a:9400::/56,MP,,
2a06:a005:186a:9500::/56,MQ,,
2a06:a005:186a:9600::/56,MR,,
2a06:a005:186a:9700::/56,MS,,
2a06:a005:186a:9800::/56,MT,,
2a06:a005:186a:9900::/56,MU,,
2a06:a005:186a:9a00::/56,MV,,
2a06:a005:186a:9b00::/56,MW,,
2a06:a005:186a:9c00::/56,MX,,
2a06:a005:186a:9d00::/56,MY,,
2a06:a005:186a:9e00::/56,MZ,,
2a06:a005:186a:9f00::/56,NA,,
2a06:a005:186a:a000::/56,NC,,
2a06:a005:186a:a100::/56,NE,,
2a06:a005:186a:a200::/56,NF,,
2a06:a005:186a:a300::/56,NG,,
2a06:a005:186a:a400::/56,NI,,
2a06:a005:186a:a500::/56,NL,,
2a06:a005:186a:a600::/56,NO,,
2a06:a005:186a:a700::/56,NP,,
2a06:a005:186a:a800::/56,NR,,
2a06:a005:186a:a900::/56,NU,,
2a06:a005:186a:aa00::/56,NZ,,
2a06:a005:186a:ab00::/56,OM,,
2a06:a005:186a:ac00::/56,PA,,
2a06:a005:186a:ad00::/56,PE,,
2a06:a005:186a:ae00::/56,PF,,
2a06:a005:186a:af00::/56,PG,,
2a06:a005:186a:b000::/56,PH,,
2a06:a005:186a:b100::/56,PK,,
2a06:a005:186a:b200::/56,PL,,
2a06:a005:186a:b300::/56,PM,,
2a06:a005:186a:b400::/56,PN,,
2a06:a005:186a:b500::/56,PR,,
2a06:a005:186a:b600::/56,PS,,
2a06:a005:186a:b700::/56,PT,,
2a06:a005:186a:b800::/56,PW,,
2a06:a005:186a:b900::/56,PY,,
2a06:a005:186a:ba00::/56,QA,,
2a06:a005:186a:bb00::/56,RE,,
2a06:a005:186a:bc00::/56,RO,,
2a06:a005:186a:bd00::/56,RS,,
2a06:a005:186a:be00::/56,RU,,
2a06:a005:186a:bf00::/56,RW,,
2a06:a005:186a:c000::/56,SA,,
2a06:a005:186a:c100::/56,SB,,
2a06:a005:186a:c200::/56,SC,,
2a06:a005:186a:c300::/56,SD,,
2a06:a005:186a:c400::/56,SE,,
2a06:a005:186a:c500::/56,SG,,
2a06:a005:186a:c600::/56,SH,,
2a06:a005:186a:c700::/56,SI,,
2a06:a005:186a:c800::/56,SJ,,
2a06:a005:186a:c900::/56,SK,,
2a06:a005:186a:ca00::/56,SL,,
2a06:a005:186a:cb00::/56,SM,,
2a06:a005:186a:cc00::/56,SN,,
2a06:a005:186a:cd00::/56,SO,,
2a06:a005:186a:ce00::/56,SR,,
2a06:a005:186a:cf00::/56,SS,,
2a06:a005:186a:d000::/56,ST,,
2a06:a005:186a:d100::/56,SV,,
2a06:a005:186a:d200::/56,SX,,
2a06:a005:186a:d300::/56,SY,,
2a06:a005:186a:d400::/56,SZ,,
2a06:a005:186a:d500::/56,TC,,
2a06:a005:186a:d600::/56,TD,,
2a06:a005:186a:d700::/56,TF,,
2a06:a005:186a:d800::/56,TG,,
2a06:a005:186a:d900::/56,TH,,
2a06:a005:186a:da00::/56,TJ,,
2a06:a005:186a:db00::/56,TK,,
2a06:a005:186a:dc00::/56,TL,,
2a06:a005:186a:dd00::/56,TM,,
2a06:a005:186a:de00::/56,TN,,
2a06:a005:186a:df00::/56,TO,,
2a06:a005:186a:e000::/56,TR,,
2a06:a005:186a:e100::/56,TT,,
2a06:a005:186a:e200::/56,TV,,
2a06:a005:186a:e300::/56,TW,,
2a06:a005:186a:e400::/56,TZ,,
2a06:a005:186a:e500::/56,UG,,
2a06:a005:186a:e600::/56,UM,,
2a06:a005:186a:e700::/56,US,,
2a06:a005:186a:e800::/56,UY,,
2a06:a005:186a:e900::/56,UZ,,
2a06:a005:186a:ea00::/56,VA,,
2a06:a005:186a:eb00::/56,VC,,
2a06:a005:186a:ec00::/56,VE,,
2a06:a005:186a:ed00::/56,VG,,
2a06:a005:186a:ee00::/56,VI,,
2a06:a005:186a:ef00::/56,VN,,
2a06:a005:186a:f000::/56,VU,,
2a06:a005:186a:f100::/56,WF,,
2a06:a005:186a:f200::/56,WS,,
2a06:a005:186a:f300::/56,YE,,
2a06:a005:186a:f400::/56,YT,,
2a06:a005:186a:f500::/56,ZA,,
2a06:a005:186a:f600::/56,ZM,,
2a06:a005:186a:f700::/56,ZW,,
2a06:a005:186a:f800::/56,AQ,,
2a06:a005:186a:f900::/56,AQ,,
2a06:a005:186a:fa00::/56,AQ,,
2a06:a005:186a:fb00::/56,AQ,,
2a06:a005:186a:fc00::/56,AQ,,
2a06:a005:186a:fd00::/56,AQ,,
2a06:a005:186a:fe00::/56,AQ,,
2a06:a005:186a:ff00::/56,AQ,,
